Company_AZN,Año_AZN,Mes_AZN,Close_AZN,Company_HSBC,Año_HSBC,Mes_HSBC,Close_HSBC,Company_SHEL,Año_SHEL,Mes_SHEL,Close_SHEL,Company_TSCO,Año_TSCO,Mes_TSCO,Close_TSCO,Company_VOD,Año_VOD,Mes_VOD,Close_VOD
AZN,2018,4,158.70178985595703,HSBC,2018,4,202.15189361572266,SHEL,2018,4,283.8740463256836,TSCO,2018,4,297.718318939209,VOD,2018,4,114.17313194274902
AZN,2018,5,130.50495529174805,HSBC,2018,5,163.98839569091797,SHEL,2018,5,235.27184677124023,TSCO,2018,5,276.353271484375,VOD,2018,5,83.74045753479004
AZN,2018,6,127.31755065917969,HSBC,2018,6,160.74276733398438,SHEL,2018,6,230.44491958618164,TSCO,2018,6,289.9907531738281,VOD,2018,6,79.93969535827637
AZN,2018,7,165.9580078125,HSBC,2018,7,197.70910263061523,SHEL,2018,7,286.9092025756836,TSCO,2018,7,371.3505401611328,VOD,2018,7,98.80828475952148
AZN,2018,8,138.4208869934082,HSBC,2018,8,150.6213493347168,SHEL,2018,8,218.64679336547852,TSCO,2018,8,322.16979217529297,VOD,2018,8,74.18985748291016
AZN,2018,9,136.7920379638672,HSBC,2018,9,147.63009643554688,SHEL,2018,9,223.11053466796875,TSCO,2018,9,342.08887481689453,VOD,2018,9,71.96220016479492
AZN,2018,10,172.17891311645508,HSBC,2018,10,175.44025421142578,SHEL,2018,10,273.9939193725586,TSCO,2018,10,426.3248977661133,VOD,2018,10,81.06049537658691
AZN,2018,11,145.60047912597656,HSBC,2018,11,142.9435157775879,SHEL,2018,11,208.70141220092773,TSCO,2018,11,358.1658172607422,VOD,2018,11,65.45676517486572
AZN,2018,12,172.73732376098633,HSBC,2018,12,174.67655563354492,SHEL,2018,12,252.07614517211914,TSCO,2018,12,406.73280334472656,VOD,2018,12,83.5158576965332
AZN,2019,1,131.40610885620117,HSBC,2019,1,142.22772979736328,SHEL,2019,1,209.67900848388672,TSCO,2019,1,337.1623764038086,VOD,2019,1,63.1090726852417
AZN,2019,2,144.67279052734375,HSBC,2019,2,142.22602081298828,SHEL,2019,2,217.18557357788086,TSCO,2019,2,365.8008346557617,VOD,2019,2,60.733460426330566
AZN,2019,3,154.1344871520996,HSBC,2019,3,142.69078826904297,SHEL,2019,3,218.04220962524414,TSCO,2019,3,356.46653747558594,VOD,2019,3,62.11014270782471
AZN,2019,4,180.04161071777344,HSBC,2019,4,189.2348289489746,SHEL,2019,4,280.08410263061523,TSCO,2019,4,498.1520462036133,VOD,2019,4,77.26203346252441
AZN,2019,5,139.8818817138672,HSBC,2019,5,147.0113296508789,SHEL,2019,5,222.5940818786621,TSCO,2019,5,390.52276611328125,VOD,2019,5,55.62966537475586
AZN,2019,6,148.63429260253906,HSBC,2019,6,145.96110153198242,SHEL,2019,6,229.3340950012207,TSCO,2019,6,415.63316345214844,VOD,2019,6,55.645118713378906
AZN,2019,7,192.60822296142578,HSBC,2019,7,181.68647384643555,SHEL,2019,7,279.0255241394043,TSCO,2019,7,534.1108856201172,VOD,2019,7,74.24483013153076
AZN,2019,8,165.93331146240234,HSBC,2019,8,129.49337005615234,SHEL,2019,8,199.88934707641602,TSCO,2019,8,393.3699035644531,VOD,2019,8,63.41889667510986
AZN,2019,9,205.97700881958008,HSBC,2019,9,169.97820663452148,SHEL,2019,9,259.08001708984375,TSCO,2019,9,458.63675689697266,VOD,2019,9,84.85493659973145
AZN,2019,10,170.8190460205078,HSBC,2019,10,139.99684143066406,SHEL,2019,10,210.87217712402344,TSCO,2019,10,368.2179870605469,VOD,2019,10,70.6189193725586
AZN,2019,11,177.93069076538086,HSBC,2019,11,136.0853500366211,SHEL,2019,11,214.20455169677734,TSCO,2019,11,373.48406982421875,VOD,2019,11,69.38438606262207
AZN,2019,12,229.94622039794922,HSBC,2019,12,174.49288177490234,SHEL,2019,12,267.62533950805664,TSCO,2019,12,456.12757110595703,VOD,2019,12,85.76966285705566
AZN,2020,1,185.38675689697266,HSBC,2020,1,137.01258850097656,SHEL,2020,1,207.7826385498047,TSCO,2020,1,360.51647186279297,VOD,2020,1,70.61770439147949
AZN,2020,2,177.99585723876953,HSBC,2020,2,132.0582447052002,SHEL,2020,2,180.58526229858398,TSCO,2020,2,372.91443634033203,VOD,2020,2,67.89176750183105
AZN,2020,3,204.82686233520508,HSBC,2020,3,135.0331974029541,SHEL,2020,3,153.7811107635498,TSCO,2020,3,396.57118225097656,VOD,2020,3,63.723204612731934
AZN,2020,4,187.8062515258789,HSBC,2020,4,96.45362091064453,SHEL,2020,4,130.28171920776367,TSCO,2020,4,375.8932418823242,VOD,2020,4,48.89870738983154
